p_PerfTitleClean,e_EventId
Interlude After Musical The Recruiting Serjeant,1
Instrumental parts First Violin Passerini with viols and the others by the best performers,1
Instead of an Overture to the Farce will be performed a Grand Piece of Musick with Trumpets being the Chorus,1
Iphigenia,1
Instead of Act Tunes will be performd Select Pieces of Musick adapted to various Instruments Being deisgnd as a Concert Intermixd with the Play,1
Injurd Love Or The Ladies Satisfaction,1
Injurd Innocence,1
Ing Henry The Fourth Part Ii,1
Ines Des Castro,1
Ines De Castro Or Royal Justice,1
In which will be introduced The Burletta of Orpheus,1
Injurd Love Or The Ladys Satisfaction,1
Iphigenia In Aulis,1
