c_Performer,p_PerfTitleClean,p_PerfTitleClean
Benson,Hamlet,8
Benson,Macbeth,34
Benson,The Beggars Opera,12
Benson,The Devil to Pay,43
Benson.,The Devil to Pay,11
Bernard,Hamlet,25
Bernard,Macbeth,2
Bernard,The Beggars Opera,2
Bernard ,Macbeth,1
Berry,Hamlet,44
Berry,Macbeth,83
Berry,The Beggars Opera,66
Berry,The Devil to Pay,135
Berry,The Stratagem,40
Berry ,Hamlet,3
Berry.,Hamlet,3
Berry.,The Beggars Opera,1
Berry.,The Devil to Pay,5
Berry.,The Stratagem,2
Besford,The Beggars Opera,1
Betterton,Hamlet,4
Betterton,Macbeth,2
Betterton.,Hamlet,2
Betterton.  See also 28 May 1663.,Hamlet,1
Betterton?,Macbeth,1
Betterton?.,Macbeth,1
Bickerstaff,Hamlet,2
Bickerstaff,The Stratagem,10
Bickerstaff.,Hamlet,4
Bickerstaffe,Hamlet,2
Blakes,Hamlet,82
Blakes,Macbeth,50
Blakes,The Beggars Opera,86
Blakes,The Devil to Pay,1
Blakes,The Stratagem,74
Blakes $Beard= Sick $Blakes= did <i>Macheath</i> ,The Beggars Opera,1
Blakes.,The Stratagem,7
Blakey,Hamlet,2
Blakey,The Beggars Opera,5
Blakey,The Devil to Pay,1
Blakey,The Stratagem,3
Blanchard,Hamlet,1
Blanchard,Macbeth,15
Blanchard,The Beggars Opera,23
Bland,Macbeth,2
Blissett,Hamlet,10
Blissett,The Beggars Opera,7
Blissett,The Stratagem,3
Blissett.,The Beggars Opera,2
Blogg.,The Devil to Pay,3
Blurton,The Beggars Opera,2
Boaman,Hamlet,1
Boaman,Macbeth,4
Boheme,Hamlet,31
Boheme,Macbeth,17
Boheme.,Macbeth,1
Boman,Hamlet,4
Boman,Macbeth,13
Bonnor,Hamlet,6
Booth,Hamlet,84
Booth,Macbeth,38
Booth,The Beggars Opera,30
Booth,The Devil to Pay,1
Booth,The Stratagem,8
Booth ,Hamlet,1
Booth.,Hamlet,1
Booth.,Macbeth,7
Booth.,The Beggars Opera,6
Boothby,The Beggars Opera,1
Boscawen,The Beggars Opera,1
Bowden,Macbeth,2
Bowden.,Macbeth,1
Bowen,Hamlet,6
Bowen,The Stratagem,17
Bowen.,Hamlet,3
Bowen.,The Stratagem,2
Bowman,Hamlet,4
Bowman,Macbeth,1
Bowman,The Stratagem,1
Bransby,Hamlet,111
Bransby,Macbeth,80
Bransby,The Beggars Opera,140
Bransby,The Stratagem,60
Bransby.,The Stratagem,3
Brereton,Hamlet,4
Brereton,Macbeth,24
Brereton,The Stratagem,23
Brereton ,Macbeth,4
Brereton.,The Stratagem,1
Brett,The Beggars Opera,7
Brett,The Devil to Pay,16
Brett ,The Beggars Opera,6
Brett.,The Devil to Pay,1
Bridges,Hamlet,22
Bridges,Macbeth,33
Bridges,The Stratagem,15
Bridges.,Hamlet,4
Bridgewater,Hamlet,1
Bridgewater,The Stratagem,1
Bridgwater,Hamlet,38
Bridgwater,Macbeth,42
Bridgwater,The Devil to Pay,3
Bridgwater,The Stratagem,50
Bridgwater.,Hamlet,1
Bridgwater.,Macbeth,2
Brown,The Devil to Pay,2
Browne ,Hamlet,2
Buck,Hamlet,1
Buck,Macbeth,3
Buckly,The Beggars Opera,4
Bulbrick,The Beggars Opera,1
Bullock,Hamlet,33
Bullock,Macbeth,11
Bullock,The Beggars Opera,6
Bullock,The Stratagem,42
Bullock Jr,Hamlet,1
Bullock Sr,Hamlet,19
Bullock Sr,Macbeth,11
Bullock Sr,The Stratagem,17
Burnet,The Beggars Opera,3
Burton,Hamlet,80
Burton,Macbeth,49
Burton,The Beggars Opera,105
